# 大きい,小さい
# にわとり = ペンギン > 白鳥 > ふくろう > すずめ
にわとり,1,ペンギン,1,白鳥,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ペンギン = すずめ > ふくろう > 白鳥 > にわとり
ペンギン,1,すずめ,1,ふくろう,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 = かぼちゃ > 玉ねぎ = ナス > 白菜 > きゅうり = もやし
ほうれん草,1,かぼちゃ,1,玉ねぎ,3,ナス,3,白菜,5,きゅうり,6,もやし,6
# 美味しい,不味い
# 白菜 = ほうれん草 = 玉ねぎ > かぼちゃ > ナス = きゅうり > もやし
白菜,1,ほうれん草,1,玉ねぎ,1,かぼちゃ,4,ナス,5,きゅうり,5,もやし,7
# 甘い,甘くない
# メロン > 柿 > みかん = イチゴ > さくらんぼ = りんご > ぶどう
メロン,1,柿,2,みかん,3,イチゴ,3,さくらんぼ,5,りんご,5,ぶどう,7
# 大きい,小さい
# メロン > りんご > 柿 = みかん > ぶどう > イチゴ > さくらんぼ
メロン,1,りんご,2,柿,3,みかん,3,ぶどう,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > 犬 > ライオン = 熊 > ネズミ
クジラ,1,犬,2,ライオン,3,熊,3,ネズミ,5
# 大きい,小さい
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > ターコイズ > オパール > サファイア = ガーネット
パール,1,ターコイズ,2,オパール,3,サファイア,4,ガーネット,4
# 珍しい,珍しくない
# ターコイズ = オパール > ガーネット > サファイア > パール
ターコイズ,1,オパール,1,ガーネット,3,サファイア,4,パール,5
# 優雅だ,優雅でない
# ヴァイオリン = チェロ > ハープ > クラリネット = フルート
ヴァイオリン,1,チェロ,1,ハープ,3,クラリネット,4,フルート,4
# 心地よい,不快だ
# ヴァイオリン = ハープ > フルート = クラリネット > チェロ
ヴァイオリン,1,ハープ,1,フルート,3,クラリネット,3,チェロ,5
# 綺麗だ,醜い
# 桔梗 = サクラ > たんぽぽ > すずらん > ひまわり
桔梗,1,サクラ,1,たんぽぽ,3,すずらん,4,ひまわり,5
# 好きだ,嫌いだ
# サクラ = たんぽぽ > 桔梗 > ひまわり > すずらん
サクラ,1,たんぽぽ,1,桔梗,3,ひまわり,4,すずらん,5
# 美味しい,不味い
# ドトール = タリーズ > サンマルク > コメダ > ルノアール
ドトール,1,タリーズ,1,サンマルク,3,コメダ,4,ルノアール,5
# 高い,安い
# ルノアール > コメダ > サンマルク > タリーズ > ドトール
ルノアール,1,コメダ,2,サンマルク,3,タリーズ,4,ドトール,5
# 好調だ,不調だ
# ソニー = パナソニック > 東芝 = 富士通 > キャノン = エプソン > 日立製作所
ソニー,1,パナソニック,1,東芝,3,富士通,3,キャノン,5,エプソン,5,日立製作所,7
# 新しい,古い
# ソニー = パナソニック > キャノン = エプソン > 東芝 = 富士通 > 日立製作所
ソニー,1,パナソニック,1,キャノン,3,エプソン,3,東芝,5,富士通,5,日立製作所,7
# 裕福だ,貧乏だ
# 中国 = インド > アメリカ = ロシア > スペイン = イギリス > タイ
中国,1,インド,1,アメリカ,3,ロシア,3,スペイン,5,イギリス,5,タイ,7
# 広大だ,せまい
# アメリカ = 中国 = ロシア > インド > タイ = イギリス > スペイン
アメリカ,1,中国,1,ロシア,1,インド,4,タイ,5,イギリス,5,スペイン,7
# 暖かい,寒い
# タイ = インド > アメリカ = 中国 > イギリス = スペイン > ロシア
タイ,1,インド,1,アメリカ,3,中国,3,イギリス,5,スペイン,5,ロシア,7
# 好調だ,不調だ
# トヨタ = ホンダ > マツダ > ダイハツ > ヤマハ
トヨタ,1,ホンダ,1,マツダ,3,ダイハツ,4,ヤマハ,5
# 有名だ,無名だ
# トヨタ = ホンダ > マツダ = ダイハツ > ヤマハ
トヨタ,1,ホンダ,1,マツダ,3,ダイハツ,3,ヤマハ,5
# 美味しい,不味い
# チューハイ > ウイスキー = ハイボール > 日本酒 > ビール
チューハイ,1,ウイスキー,2,ハイボール,2,日本酒,4,ビール,5
# 高価だ,安価だ
# ウイスキー = 日本酒 > ハイボール > チューハイ > ビール
ウイスキー,1,日本酒,1,ハイボール,3,チューハイ,4,ビール,5
# 好きだ,嫌いだ
# ハンバーガー = ラーメン > チャーハン = カレー > ピザ
ハンバーガー,1,ラーメン,1,チャーハン,3,カレー,3,ピザ,5
# 脂っこい,脂っこくない
# ラーメン > ハンバーガー > チャーハン > ピザ >> カレー
ラーメン,1,ハンバーガー,2,チャーハン,3,ピザ,4,カレー,5
# 高価だ,安価だ
# カメラ > カーナビ = 洗濯機 > エアコン > プリンタ
カメラ,1,カーナビ,2,洗濯機,2,エアコン,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 > カメラ = プリンタ > カーナビ > エアコン
洗濯機,1,カメラ,2,プリンタ,2,カーナビ,4,エアコン,5
# 好きだ,嫌いだ
# 雪 = 晴天 > 霧 > 霜 >> 雷 >> 強風 = 雨
雪,1,晴天,1,霧,3,霜,4,雷,5,強風,6,雨,6
# 珍しい,珍しくない
# 雪 > 雷 > 霜 > 強風 > 霧 > 晴天 > 雨
雪,1,雷,2,霜,3,強風,4,霧,5,晴天,6,雨,7
# 好きだ,嫌いだ
# 牛肉 = 豚肉 = 鶏肉 > 馬肉 > ラム肉
牛肉,1,豚肉,1,鶏肉,1,馬肉,4,ラム肉,5
# 高価だ,安価だ
# 牛肉 > ラム肉 = 馬肉 > 豚肉 > 鶏肉
牛肉,1,ラム肉,2,馬肉,2,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 > 薬師寺 > 中尊寺 = 善光寺 > 増上寺 = 東寺
銀閣寺,1,薬師寺,2,中尊寺,3,善光寺,3,増上寺,5,東寺,5
# 立派だ,立派でない
# 銀閣寺 = 薬師寺 = 中尊寺 > 善光寺 > 増上寺 = 東寺
銀閣寺,1,薬師寺,1,中尊寺,1,善光寺,4,増上寺,5,東寺,5
# メジャーだ,マイナーだ
# バスケ = テニス = サッカー = 野球 > 卓球 = バレー > 相撲
バスケ,1,テニス,1,サッカー,1,野球,1,卓球,5,バレー,5,相撲,7
# 得意だ,苦手だ
# 卓球 = テニス >> バスケ > バレー > 野球 >> サッカー > 相撲
卓球,1,テニス,1,バスケ,3,バレー,4,野球,5,サッカー,6,相撲,7
# 快適だ,不快だ
# 新幹線 >> タクシー > 電車 = 飛行機 > バス
新幹線,1,タクシー,2,電車,3,飛行機,3,バス,5
# 速い,遅い
# 飛行機 >> 新幹線 >> 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 飛行機 > 新幹線 > タクシー > バス > 電車
飛行機,1,新幹線,2,タクシー,3,バス,4,電車,5
# 可愛い,可愛くない
# 北乃きい > 優香 = 南明奈 > 吹石一恵 = 釈由美子 > 梨花 > 友近
北乃きい,1,優香,2,南明奈,2,吹石一恵,4,釈由美子,4,梨花,6,友近,7
# 面白い,つまらない
# 友近 > 優香 = 南明奈 > 吹石一恵 = 北乃きい > 梨花 = 釈由美子
友近,1,優香,2,南明奈,2,吹石一恵,4,北乃きい,4,梨花,6,釈由美子,6
# 甘い,甘くない
# チーズケーキ > ショートケーキ > ロールケーキ = シフォンケーキ > チョコレートケーキ
チーズケーキ,1,ショートケーキ,2,ロールケーキ,3,シフォンケーキ,3,チョコレートケーキ,5
# 好きだ,嫌いだ
# チーズケーキ = シフォンケーキ > ショートケーキ = ロールケーキ > チョコレートケーキ
チーズケーキ,1,シフォンケーキ,1,ショートケーキ,3,ロールケーキ,3,チョコレートケーキ,5
# 美味しい,不味い
# ベーグル = スコーン > マフィン > カステラ > マカロン
ベーグル,1,スコーン,1,マフィン,3,カステラ,4,マカロン,5
# おしゃれだ,おしゃれでない
# スコーン = マフィン > マカロン > ベーグル > カステラ
スコーン,1,マフィン,1,マカロン,3,ベーグル,4,カステラ,5
# 美味しい,不味い
# オレンジジュース = 緑茶 > 抹茶 = ココア > 紅茶
オレンジジュース,1,緑茶,1,抹茶,3,ココア,3,紅茶,5
# 好きだ,嫌いだ
# 讃岐うどん = お好み焼き = 串かつ > カツカレー = 牛タン
讃岐うどん,1,お好み焼き,1,串かつ,1,カツカレー,4,牛タン,4
# 高価だ,安価だ
# 牛タン > カツカレー = 串かつ > お好み焼き > 讃岐うどん
牛タン,1,カツカレー,2,串かつ,2,お好み焼き,4,讃岐うどん,5
# 暖かい,寒い
